feedback_type,block_id,trial_in_block,perturbation_active,gradual_perturbation,perturbation_force,end_x,end_y,hit,score_delta,score_total
,1,1,False,False,0,630.0410227905293,701.9927094000609,False,0,0
,1,2,False,False,0,431.1257006557051,258.97207083486774,True,79,79
,1,3,False,False,0,240.9279202185671,382.4053981018006,False,0,79
,1,4,False,False,0,129.49079720625713,96.94636244161485,False,0,79
,1,5,False,False,0,406.60504031064886,356.97105285173933,False,0,79
,1,6,False,False,0,327.30081440168897,120.98619641022384,False,0,79
,1,7,False,False,0,211.54441292280973,200.99039049436254,False,0,79
,1,8,False,False,0,-79.22002374338048,-109.0057717078905,False,-50,29
,1,9,False,False,0,473.91361994043353,523.9040221560372,False,0,29
,1,10,False,False,0,428.9759080569213,424.92125148543937,False,0,29
,2,1,True,True,0.0,581.9532056118053,617.9415070147556,False,0,29
,2,2,True,True,0.0,165.34982801890817,14.982602234635289,False,-50,-21
,2,3,True,True,0.0,482.645164574201,461.9180513395038,False,0,-21
,2,4,True,True,0.2,674.8922943838775,726.9969062195771,False,0,-21
,2,5,True,True,0.2,-137.39016800773223,-172.03072085105927,False,-50,-71
,2,6,True,True,0.2,213.65289413654426,133.9487623775079,False,0,-71
,2,7,True,True,0.4,119.91324986275801,280.21513367523966,True,95,24
,2,8,True,True,0.4,424.6782949220662,473.91805133950373,False,0,24
,2,9,True,True,0.4,328.0650109963763,383.99001211845473,False,0,24
,2,10,True,True,0.6000000000000001,472.59103493589555,363.9710528517393,False,0,24
,2,11,True,True,0.6000000000000001,322.8355303382485,168.99039049436266,False,0,24
,2,12,True,True,0.6000000000000001,343.92420889969094,470.32875636570884,False,0,24
,2,13,True,True,0.8,281.97765666789417,240.97207083486794,True,88,112
,2,14,True,True,0.8,71.22741942415057,9.98260223463534,False,-50,62
,2,15,True,True,0.8,611.7361512946421,691.9274446530023,False,0,62
,2,16,True,True,1.0,406.9290367274806,341.9710528517393,False,-28,34
,2,17,True,True,1.0,312.4196976922858,94.98619641022374,False,0,34
,2,18,True,True,1.0,485.3787495511231,475.9086065400784,False,0,34
,2,19,True,True,1.2,584.8377590388069,572.9936478259503,False,0,34
,2,20,True,True,1.2,154.44863323067688,-70.07902579895912,False,-50,-16
,2,21,True,True,1.2,399.02327485074113,384.90106258176525,False,0,-16
,2,22,True,True,1.4,400.0883945429918,326.9237523601902,False,-27,-43
,2,23,True,True,1.4,384.03546861821724,204.92499283884592,True,82,39
,2,24,True,True,1.4,573.8898504021188,550.9520061363932,False,0,39
,2,25,True,True,1.5999999999999999,372.99697148403243,374.951786735685,False,0,39
,2,26,True,True,1.5999999999999999,307.95178673568483,413.9517867356854,False,0,39
,2,27,True,True,1.5999999999999999,178.6120118338195,-52.081982249269814,False,-50,-11
,2,28,True,True,1.7999999999999998,544.0375257834701,564.9496054180113,False,0,-11
,2,29,True,True,1.7999999999999998,155.4907972062569,124.94636244161494,False,0,-11
,2,30,True,True,1.7999999999999998,497.1708182787301,539.9040221560371,False,0,-11
,3,1,False,False,1.9999999999999998,39.703768235722634,103.94636244161488,False,-50,-61
,3,2,False,False,1.9999999999999998,402.78283893691327,425.90405241822106,False,0,-61
,3,3,False,False,1.9999999999999998,12.629546538429917,86.98619641022334,False,-50,-111
,3,4,False,False,1.9999999999999998,302.2757155660923,349.9382666779573,False,-22,-133
,3,5,False,False,1.9999999999999998,150.9866558224459,275.98665582244587,True,94,-39
,3,6,False,False,1.9999999999999998,148.39943634874473,200.95234436925827,False,0,-39
,3,7,False,False,1.9999999999999998,316.9444400101603,332.93826667795713,False,-23,-62
,3,8,False,False,1.9999999999999998,42.92041832514954,179.66274512189952,False,-50,-112
,3,9,False,False,1.9999999999999998,224.6685701566406,306.98045951653285,True,90,-22
,3,10,False,False,1.9999999999999998,459.43406751794845,395.9725295972482,False,0,-22
trajectory,4,1,False,False,1.9999999999999998,490.58957096686845,480.9086065400783,False,0,-22
trajectory,4,2,False,False,1.9999999999999998,289.3222131853717,277.9866558224459,True,87,65
trajectory,4,3,False,False,1.9999999999999998,436.47371296281625,475.99463580229633,False,0,65
trajectory,4,4,False,False,1.9999999999999998,-34.132580123449266,-17.08935425561878,False,-50,15
trajectory,4,5,False,False,1.9999999999999998,453.16973497300273,377.9010625817652,False,0,15
trajectory,4,6,False,False,1.9999999999999998,182.0317525151024,190.98966566064297,False,0,15
trajectory,4,7,False,False,1.9999999999999998,273.4062759448202,260.934689752969,True,88,103
trajectory,4,8,False,False,1.9999999999999998,160.20294705125437,123.98619641022363,False,0,103
trajectory,4,9,False,False,1.9999999999999998,294.88884675691145,332.98045951653296,False,-21,82
trajectory,4,10,False,False,1.9999999999999998,427.46197575295975,513.9235355457879,False,0,82
trajectory,5,1,True,True,0.0,319.008299304019,309.93622321054244,True,85,167
trajectory,5,2,True,True,0.0,184.34869371976782,67.94900072830217,False,0,167
trajectory,5,3,True,True,0.0,383.9969714840325,375.95178673568535,False,0,167
trajectory,5,4,True,True,0.2,236.32513204694104,113.96698294911741,False,0,167
trajectory,5,5,True,True,0.2,273.88715039028665,224.99039049436237,True,89,256
trajectory,5,6,True,True,0.2,401.342811728234,470.99463580229633,False,0,256
trajectory,5,7,True,True,0.4,100.19001599685264,68.92030106661124,False,0,256
trajectory,5,8,True,True,0.4,93.16988805509224,-62.08001789637822,False,-50,206
trajectory,5,9,True,True,0.4,-260.3391926149,-483.0819904389331,False,-50,156
trajectory,5,10,True,True,0.6000000000000001,427.30308264232883,454.92319632863666,False,0,156
