Wavelength,S_Cone_Sensitivity,M_Cone_Sensitivity,L_Cone_Sensitivity
380.0,0.0015167360025085343,0.0005887368972521078,0.0011589407949410338
380.5,0.0016130415133953874,0.0006288993772075255,0.0012365658705823907
381.0,0.0017188612442968904,0.0006720488006666814,0.00132026810339069
381.5,0.0018349341736231188,0.0007185561110030646,0.001410693060871787
382.0,0.0019619992797841467,0.0007687922515901634,0.001508486310531535
382.5,0.00210079554119005,0.0008231281658014669,0.0016142934198757882
383.0,0.0022520619362509037,0.0008819347970104638,0.0017287599564104012
383.5,0.0024165374433767818,0.0009455830885906425,0.0018525314876412275
384.0,0.0025949610409777613,0.0010144439839154926,0.0019862535810741223
384.5,0.002788071707463915,0.0010888884263585016,0.002130571804214938
385.0,0.0029966084212453194,0.0011692873592931594,0.0022861317245695305
385.5,0.00322131016073205,0.0012560117260929544,0.0024535789096437536
386.0,0.0034629159043341813,0.0013494324701313755,0.002633558926943461
386.5,0.003722164630461787,0.001449920534781911,0.0028267173439745067
387.0,0.003999795317524944,0.00155784686341805,0.0030336997282427456
387.5,0.004296546943933726,0.0016735823994132814,0.0032551516472540316
388.0,0.00461315848809821,0.0017974980861410938,0.0034917186685142184
388.5,0.004950368928428469,0.001929964866974976,0.003744046359529161
389.0,0.005308917243334579,0.0020713536852884165,0.004012780287804712
389.5,0.005689542411226614,0.0022220354844549044,0.004298566020846727
390.0,0.006092983410514651,0.002382381207847928,0.0046020491261610594
390.5,0.006520203933952778,0.0025528056506971416,0.004923965536616074
391.0,0.006973066531671146,0.0027338990156568536,0.005265412646530167
391.5,0.007453658468143919,0.002926295357237541,0.005627578215584246
392.0,0.00796406700784526,0.003130628729949676,0.006011650003459218
392.5,0.008506379415249331,0.003347533188303735,0.0064188157698359906
393.0,0.009082682954830303,0.0035776427868101923,0.006850263274395471
393.5,0.009695064891062335,0.0038215915799795215,0.0073071802768185645
394.0,0.01034561248841959,0.004080013622322199,0.007790754536786181
394.5,0.011036413011376235,0.004353542968348697,0.008302173813979226
395.0,0.011769553724406434,0.004642813672569493,0.008842625868078605
395.5,0.012546770755832867,0.0049483948129076935,0.009413131108104109
396.0,0.013368395689372294,0.00527059556093694,0.010014040540431058
396.5,0.01423440897258998,0.005609660111643505,0.010645537820773644
397.0,0.015144791053051198,0.005965832660013663,0.011307806604846064
397.5,0.01609952237832122,0.006339357401033688,0.012001030548362518
398.0,0.01709858339596532,0.006730478529689856,0.012725393307037206
398.5,0.01814195455354877,0.007139440240968438,0.013481078536584323
399.0,0.019229616298636832,0.007566486729855709,0.014268269892718064
399.5,0.020361549078794793,0.008011862191337944,0.015087151031152633
400.0,0.021537733341587914,0.008475810820401415,0.015937905607602224
400.5,0.02275831427464345,0.008958642713193713,0.016820782955701233
401.0,0.024024096025836536,0.009460931570507694,0.017736295120764838
401.5,0.025336047483104286,0.009983316994297518,0.01868501982602841
402.0,0.02669513753438382,0.01052643858651736,0.01966753479472733
402.5,0.028102335067612245,0.011090935949121378,0.02068441775009696
403.0,0.0295586089707267,0.011677448684063754,0.02173624641537269
403.5,0.031064928131664272,0.012286616393298642,0.02282359851378988
404.0,0.03262226143836209,0.012919078678780218,0.023947051768583912
404.5,0.03423157777875727,0.013575475142462648,0.02510718390299016
405.0,0.035893846040786936,0.014256445386300099,0.026304572640244
405.5,0.03761136750356788,0.014963099391255815,0.02754068967326661
406.0,0.039391773010935646,0.015698428654329324,0.028820582573722393
406.5,0.04124402579790548,0.016465895051529233,0.03015019288296156
407.0,0.043177089099492624,0.01726896045886415,0.031535462142334325
407.5,0.04519992615071229,0.018111086752342673,0.032982331893190886
408.0,0.04732150018657973,0.018995735807973417,0.034496743676881464
408.5,0.04955077444211018,0.019926369501764983,0.03608463903475627
409.0,0.05189671215231886,0.020906449709725973,0.0377519595081655
409.5,0.05436827655222102,0.021939438307864993,0.03950464663845937
410.0,0.0569744308768319,0.023028797172190658,0.041348641966988106
410.5,0.05972224499695518,0.024177510036197458,0.04328878699716888
411.0,0.06261121532654841,0.025386648063323487,0.04532552308068683
411.5,0.0656389449153576,0.026656804274492716,0.047458191531294075
412.0,0.06880303681312872,0.027988571690629127,0.049686133662742694
412.5,0.07210109406960775,0.029382543332656698,0.05200869078878482
413.0,0.07553071973454074,0.030839312221499413,0.054425204223172555
413.5,0.07908951685767365,0.03235947137808125,0.056935015279658004
414.0,0.0827750884887525,0.03394361382332618,0.05953746527199329
414.5,0.08658503767752326,0.0355923325781582,0.062231895513930505
415.0,0.09051696747373195,0.03730622066350127,0.06501764731922176
415.5,0.09456431908735279,0.03908446715232997,0.0678912669937679
416.0,0.09870388636927278,0.04092064532582122,0.07083812081206446
416.5,0.10290830133060719,0.04280692451720254,0.07384078004075585
417.0,0.10715019598247125,0.04473547405970141,0.0768818159464863
417.5,0.11140220233598021,0.04669846328654535,0.07994379979590015
418.0,0.11563695240224935,0.048688061530961876,0.08300930285564172
418.5,0.11982707819239387,0.05069643812617849,0.08606089639235528
419.0,0.12394521171752904,0.0527157624054227,0.0890811516726852
419.5,0.1279639849887701,0.05473820370192201,0.09205263996327574
420.0,0.1318560300172323,0.05675593134890395,0.09495793253077123
420.5,0.13559883058466338,0.05876232948783602,0.09778290195857593
421.0,0.13918927755534113,0.060755641493145836,0.10052662609713388
421.5,0.14262911356417574,0.062735325547501,0.10319148411364905
422.0,0.1459200812460775,0.06470083983356911,0.1057798551753254
422.5,0.1490639232359566,0.06665164253401781,0.10829411844936689
423.0,0.15206238216872336,0.06858719183151471,0.11073665310297755
423.5,0.15491720067928796,0.07050694590872737,0.11310983830336133
424.0,0.1576301214025607,0.07241036294832347,0.11541605321772219
424.5,0.16020288697345178,0.0742969011329706,0.11765767701326411
425.0,0.16263724002687152,0.07616601864533637,0.1198370888571911
425.5,0.1649366856808992,0.07801863202778882,0.12195782964645473
426.0,0.1671117789862905,0.0798614912614976,0.12402808719699698
426.5,0.16917483747697035,0.08170280468733286,0.1260572110545075
427.0,0.1711381786868634,0.08355078064616467,0.12805455076467587
427.5,0.17301412014989448,0.08541362747886312,0.13002945587319167
428.0,0.17481497939998847,0.08729955352629834,0.1319912759257446
428.5,0.17655307397107006,0.08921676712934042,0.13394936046802422
429.0,0.17824072139706412,0.09117347662885943,0.13591305904572015
429.5,0.17989023921189545,0.0931778903657255,0.13789172120452198
430.0,0.1815139449494888,0.09523821668080876,0.13989469649011935
430.5,0.18312053539222226,0.09736045038686111,0.14192903640630833
