attempt,circle_angle_degrees
4,126.55001138172133
6,131.39153114743365
8,126.97759635267249
9,125.93070670010844
11,128.7163408252987
12,132.9174347202691
14,125.11201118442222
16,132.0574795436314
18,128.26211140524916
19,124.54591621421653
21,153.09839376183243
22,147.85057521446234
23,144.58157448256867
24,137.62037177316228
25,128.8418145601917
27,136.61303337592315
28,133.64794970197198
30,127.01376254792274
31,126.17519355691684
33,135.45066667932863
34,126.45881637871867
35,112.42911109916572
36,133.99084270126932
38,137.5602720518007
39,139.79887635452494
41,131.3099324740202
42,133.9457288836472
43,133.99260617285046
44,131.82148834060726
45,129.86580694308438
46,134.8369087615607
47,130.55180950619228
48,131.76828893202065
49,132.94262426579456
50,137.1759036157467
51,126.65739697294585
52,121.01099705233041
53,134.1507585309924
54,132.84189628417218
55,131.6893691754392
56,132.32331345670588
57,119.82947735016612
60,142.7183353781192
61,136.3610774553463
62,133.062972497392
63,129.31843557049237
64,134.62087398863164
65,135.5335517248799
66,136.1996312531843
68,126.04850666100063
69,131.1695019230829
70,126.36080915398479
71,133.62699485989154
72,136.76884125960348
73,132.4204299452566
74,132.74115632403178
75,128.28579702395376
76,130.3365541464993
77,131.86149935331645
78,127.88313931672974
79,131.20428579686032
80,126.58194465517802
81,106.08457565837331
82,88.38393334931426
83,115.72252691633759
84,121.09222219014529
85,120.84236735032276
86,121.50941412548924
87,124.19754565913163
88,124.43477142162683
89,125.2984937640706
90,122.5531995528535
91,126.73484597017378
92,127.21819596650278
93,126.487467903655
95,128.55046529615774
96,124.48098576797848
97,122.2252891675778
98,126.23371983816163
99,126.76597554787116
100,127.45677370960111
101,127.99873244250468
102,127.29066691996609
103,131.72951207681643
105,126.52370379538307
106,131.10987559593818
107,127.34552218253614
108,127.93968806121237
109,125.51581751851657
110,128.17653760096647
111,127.49453917925837
112,123.39143251133304
113,126.55489653395537
114,124.79361858908568
115,126.80090817947057
116,126.65273211782626
117,121.2523170557172
118,134.0759546472273
119,130.94233692386334
120,130.07938396363602
121,106.13218027513132
122,151.65230467765133
124,171.48390463834335
125,163.4676780598709
127,175.44017340789912
128,174.15084859924258
129,175.16183287192334
130,-174.64584425661198
131,-165.35150343987334
132,-176.5806191822281
133,-174.6502998128119
134,-168.50353164478446
136,161.80706342159857
137,179.2679952148927
138,-171.3694392061123
139,-168.21548399174821
140,167.72006532229096
142,175.7523995828243
144,-172.1250163489018
145,-176.6080864844483
146,-178.2041416473688
147,-175.11124190812134
148,-172.78180403349722
149,-174.2040409544683
150,-170.57760510665753
151,173.88449313449982
152,-161.89589416316875
153,175.506938088849
154,-170.21862475913142
155,175.65435681544503
156,-176.91943905069542
157,159.37381180544656
158,-167.7029440378147
159,173.94642623894265
160,173.5931547043382
161,168.68735150521115
162,169.81253772277182
163,-176.21173928906947
164,178.14160123226173
166,-179.39554658890412
167,-171.6565808867518
168,177.73248917234008
170,178.49998348663078
171,-178.65764250581216
172,-176.51865934487947
173,172.61986494804043
175,-174.0541477069287
176,168.48814823150863
177,164.63933466230702
178,-163.9341549724384
179,165.3281069177332
180,170.14212853797932
181,-163.33132166308704
183,128.60225349744374
185,128.31309067381764
186,135.48146580583835
187,134.09061955080085
189,129.6643908124604
190,131.07169277460233
192,124.19176905968021
193,127.10948433577151
195,123.25196050326035
196,125.59921995897615
197,132.51044707800085
198,124.08490202290665
199,126.67434966957317
200,132.67846941016728
201,134.13522371770904
202,128.93821121127138
203,131.01504652080325
204,131.06383388731
205,130.88181029601122
207,134.78297157011994
209,127.38918052243318
210,129.30145138187584
211,125.55675730492652
212,124.0929218369342
214,130.15599962491933
215,124.90249561592474
217,125.00541645258464
218,130.58437826536223
219,127.84548016271049
220,127.73304559418833
221,152.05737573420544
222,149.66114620198945
223,108.6555311953144
224,134.49386775827614
225,138.84047335218807
227,131.9245239376119
228,132.62725396882374
229,136.30170834430743
230,145.7465957153894
233,134.57421619803876
234,137.90170463777824
235,125.29704810459678
236,136.4096159392094
237,128.07834466316402
238,124.15280223172483
239,137.32084175608344
240,136.24670587960352
241,129.10460086540218
242,133.99525936939932
243,137.62639270968438
244,125.74626920979625
245,136.92751306414706
246,141.62047604722338
247,131.2744990960309
248,127.4314079711725
249,127.12501634890181
251,133.1164361253915
252,136.82560523158077
253,139.99875255633168
254,132.956102941894
255,123.67449952082967
256,139.95159069476324
257,137.02400800253926
258,132.79645371470616
259,136.28877403005944
260,133.09189306434683
261,127.61854648756893
262,131.66492036979142
263,133.1575427400148
264,133.69004961746552
265,133.1575427400148
267,138.03428556712984
268,132.93805631718647
269,132.5288077091515
270,134.93141717813756
271,136.48445318953569
272,134.91968585571485
273,136.8742995387028
274,135.871178611457
275,136.34817154735126
276,132.94262426579456
277,134.95464676515306
278,134.12668661224214
280,135.19088579329346
281,113.47739989209293
282,118.1608551395661
284,126.48157729798525
285,127.514045415915
286,127.0965112809745
287,124.96196734030605
288,122.0053832080835
289,124.50852298766841
290,126.65273211782626
292,126.0675903505482
293,129.31507701289436
294,123.84353799692481
295,120.99461047605561
296,124.77783136636387
297,126.32301461842579
298,129.1633714751305
299,126.86989764584402
