attempt,error_angle_degrees
1,0.27026110649413226
2,-6.970995807229485
3,2.0825652797308862
4,0.6936196187872667
5,0.0
6,-2.544804379813087
7,-1.569354804748997
8,1.4943335912665248
9,-2.958722146780758
10,-0.9617093298587633
11,-0.9391909457355894
12,3.762332723570154
13,3.2154839917481866
14,3.4566191720419965
15,-0.6740368979845073
16,1.5838115708619398
17,0.12704143152350866
18,2.102788111771531
19,4.763641690726189
20,3.0127875041833363
21,39.59473215936133
22,22.6753475965738
23,28.439800313071316
24,15.992505039200879
25,10.901743277736315
26,4.449925347586486
27,5.258355936859658
28,-1.1303135614949724
29,7.932100437589767
30,6.223656502766204
31,9.397686327879299
32,1.5520964881338841
33,7.806495491605972
34,
35,6.3477982978324405
36,5.730262180236622
37,7.605385347764127
38,5.75407131879939
39,7.4098373714932535
40,9.672344932075532
41,8.371241931064702
42,6.4231115173985245
43,3.017609214690026
44,3.964904948388863
45,3.2557133924257187
46,1.5319306227468132
47,6.938480467706455
48,5.619872649006226
49,
50,4.870033520515676
51,6.903178081839144
52,1.2911879576985825
53,4.086682423679889
54,9.887411710924496
55,3.881690486937373
56,1.9509341472598862
57,4.080012226704639
58,5.879016880557401
59,6.221995418502814
60,6.559218624126885
61,5.621651045315559
62,4.273363797324123
63,6.490959775807511
64,3.376063150424727
65,7.03622694014544
66,2.689400179992191
67,5.4908376079266645
68,4.6284382469040395
69,2.365234923637928
70,2.4335606316942915
71,-0.19985807114355225
72,4.48867299944115
73,3.0904893686921753
74,7.166345822082434
75,2.5712587783224308
76,3.212873270228556
77,6.177225573292162
78,4.450513207633804
79,6.899799394526553
80,14.95089799423019
81,-36.9765935737463
82,-25.280607655277237
83,-11.36201953195578
84,
85,-14.717566568058118
86,-8.316126958663517
87,-5.409108176051177
88,-5.634266655767391
89,-2.5857943424244922
90,-2.101654327671298
91,2.3859440303887993
92,-2.165615252902853
93,2.6425452940647176
94,-1.3574658445306227
95,3.395986957911191
96,-0.5430716937237889
97,2.3749615157613846
98,-0.7440592028887352
99,4.320804954984453
100,2.751227617477099
101,19.00005068460338
102,28.01652330549068
103,19.592288687509935
104,15.963756532073504
105,7.439121763631391
106,5.206418562956088
107,11.48343331275008
108,4.378004055393006
109,1.71659082126655
110,2.696788343870395
111,12.775345345999199
112,5.142128537979289
113,
114,
115,4.1790080258107025
116,-0.4185316306800644
117,3.890571660184065
118,-3.1016848258750827
119,-6.487080762162208
120,6.21182481797976
121,11.4840105245965
122,8.962488974578179
123,7.077199315536305
124,1.8639394097781405
125,3.666914274220204
126,0.5135941504125299
127,8.943294409295206
128,8.925040758006645
129,6.83643135210815
130,2.8002783328321925
131,2.332126766311603
132,3.7200001005058425
133,9.381811876895497
134,
135,3.4349488229219958
136,4.874238450804398
137,3.079814241693896
138,4.290046219188724
139,3.8531587644191063
140,2.1857061442247527
141,4.96718660580143
142,6.496286917762831
143,9.722839552310504
144,10.635238760458307
145,1.4221874983152816
146,5.53610931937439
147,1.7914188319415416
148,2.40514505409638
149,4.759470735213199
150,7.591409137361367
151,8.389735023919357
152,4.207677415218399
153,0.39807987452755356
154,8.468735779122056
155,7.390281285165543
156,6.960564020096456
157,4.677857521204572
158,8.462182788085656
159,7.806495491605972
160,6.608711402883785
