feedback_type,block_id,trial_in_block,perturbation_active,gradual_perturbation,perturbation_force,end_x,end_y,hit,score_delta,score_total
,1,1,False,False,0,592.0,435.9212850851641,False,0,0
,1,2,False,False,0,718.1848979124538,-0.08675013724229491,False,-50,-50
,1,3,False,False,0,690.1920805471436,365.983713610159,False,0,-50
,1,4,False,False,0,402.1481622066831,330.95558929603976,False,0,-50
,1,5,False,False,0,423.1859629619411,475.9927094000607,False,0,-50
,1,6,False,False,0,746.0595641058258,241.95224456490092,False,-68,-118
,1,7,False,False,0,281.7226080894292,-138.03301705088307,False,-50,-168
,1,8,False,False,0,244.94150701475752,445.2845891789649,False,0,-168
,1,9,False,False,0,309.9212850851643,454.921285085164,False,0,-168
,1,10,False,False,0,372.0441262561113,393.95503148065376,False,0,-168
,2,1,True,True,0.0,-43.02894714825964,213.94304210223325,False,-50,-218
,2,2,True,True,0.0,407.46169844620385,237.92353554578716,True,69,-149
,2,3,True,True,0.0,695.3700926773813,303.9936478259493,False,-64,-213
,2,4,True,True,0.2,843.0409743302482,231.91805133950461,False,-76,-289
,2,5,True,True,0.2,933.4771276107718,279.9496054180112,False,-85,-374
,2,6,True,True,0.2,846.0378955501546,200.9242088996907,False,-76,-450
,2,7,True,True,0.4,914.1639697144496,178.92125148543866,True,25,-425
,2,8,True,True,0.4,108.97588114574215,278.5325086503761,True,88,-337
,2,9,True,True,0.4,337.3590728058324,197.9242088996907,True,76,-261
,2,10,True,True,0.6000000000000001,375.8059635655569,387.90429078830135,False,0,-261
,2,11,True,True,0.6000000000000001,108.91062527469475,208.92319632863737,True,94,-167
,2,12,True,True,0.6000000000000001,345.35721668677223,377.9899119363561,False,0,-167
,2,13,True,True,0.8,354.29628777601323,411.9415070147566,False,0,-167
,2,14,True,True,0.8,171.01121379836138,242.90860654007847,True,88,-79
,2,15,True,True,0.8,272.99215601761694,214.91805133950447,True,81,2
,2,16,True,True,1.0,176.58683937121756,203.92125148543857,True,90,92
,2,17,True,True,1.0,274.8352853712923,348.9753221933946,False,0,92
,2,18,True,True,1.0,266.1138210566442,226.90860654007852,True,82,174
,2,19,True,True,1.2,155.95200613639398,358.69682649187126,False,0,174
,2,20,True,True,1.2,367.0987836967123,223.97588114574214,True,73,247
,2,21,True,True,1.2,197.08403224851875,96.97105285174052,False,0,247
,2,22,True,True,1.4,278.75604116182035,200.92420889969083,True,81,328
,2,23,True,True,1.4,442.23106718731157,368.9869349425993,False,0,328
,2,24,True,True,1.4,132.09803762327275,103.9710528517404,False,0,328
,2,25,True,True,1.5999999999999999,222.92321772483012,303.9040221560376,False,-22,306
,2,26,True,True,1.5999999999999999,400.46640775461344,293.9040221560371,False,-38,268
,2,27,True,True,1.5999999999999999,294.3852515168666,160.91448169030696,True,80,348
,2,28,True,True,1.7999999999999998,-43.07207978143201,185.70870194611203,False,-50,298
,2,29,True,True,1.7999999999999998,135.95224456490155,276.9522445649005,True,88,386
,2,30,True,True,1.7999999999999998,73.90860654007851,295.64367804560067,False,0,386
,3,1,False,False,1.9999999999999998,123.95200613639406,342.1864672028242,False,0,386
,3,2,False,False,1.9999999999999998,-24.06173332204343,194.61316445422884,False,-50,336
,3,3,False,False,1.9999999999999998,-282.0244524930144,69.95518345493784,False,-50,286
,3,4,False,False,1.9999999999999998,147.9393671197525,173.9242088996905,True,93,379
,3,5,False,False,1.9999999999999998,301.36006973959024,383.96777545874255,False,0,379
,3,6,False,False,1.9999999999999998,157.66162545560493,179.90405241822177,True,92,471
,3,7,False,False,1.9999999999999998,63.918051339504295,357.2319124350553,False,0,471
,3,8,False,False,1.9999999999999998,187.5423987637649,161.92420889969034,True,90,561
,3,9,False,False,1.9999999999999998,242.9837136101594,398.04774045920664,False,0,561
,3,10,False,False,1.9999999999999998,218.95558929603993,345.6790451489285,False,0,561
trajectory,4,1,False,False,1.9999999999999998,291.0197802662552,325.95558929603976,False,0,561
trajectory,4,2,False,False,1.9999999999999998,354.6290109785354,410.91771427209613,False,0,561
trajectory,4,3,False,False,1.9999999999999998,464.55536838594696,399.95503148065353,False,0,561
trajectory,4,4,False,False,1.9999999999999998,483.6904441620326,523.9582772835588,False,0,561
trajectory,4,5,False,False,1.9999999999999998,508.844294708757,389.9550314806537,False,0,561
trajectory,4,6,False,False,1.9999999999999998,428.8231171574553,370.9677754587426,False,0,561
trajectory,4,7,False,False,1.9999999999999998,411.6885894175162,394.95503148065376,False,0,561
trajectory,4,8,False,False,1.9999999999999998,270.165748624733,309.95200613639355,False,0,561
trajectory,4,9,False,False,1.9999999999999998,462.8683485515936,547.9209479078562,False,0,561
trajectory,4,10,False,False,1.9999999999999998,467.63149839065915,534.9209479078562,False,0,561
trajectory,5,1,True,True,0.0,421.93507592927267,468.9072513275323,False,0,561
trajectory,5,2,True,True,0.0,466.96290053101274,478.9072513275321,False,0,561
trajectory,5,3,True,True,0.0,529.973144465565,566.9104815518878,False,0,561
trajectory,5,4,True,True,0.2,531.4967421911936,514.9869687647722,False,0,561
trajectory,5,5,True,True,0.2,540.2894495171965,542.9209479078562,False,0,561
trajectory,5,6,True,True,0.2,461.86604102578076,505.98696876477226,False,0,561
trajectory,5,7,True,True,0.4,407.3535645779214,418.92744465300274,False,0,561
trajectory,5,8,True,True,0.4,510.6519329088158,523.944748408058,False,0,561
trajectory,5,9,True,True,0.4,548.8270433237634,549.9245198851767,False,0,561
trajectory,5,10,True,True,0.6000000000000001,563.375814452203,502.9869687647723,False,0,561
trajectory,5,11,True,True,0.6000000000000001,442.87658302795006,511.9901911475151,False,0,561
trajectory,5,12,True,True,0.6000000000000001,466.8765830279502,506.99019114751565,False,0,561
trajectory,5,13,True,True,0.8,536.0946604171495,569.9587354113693,False,0,561
trajectory,5,14,True,True,0.8,537.711305520253,527.9582772835588,False,0,561
trajectory,5,15,True,True,0.8,454.16227121956007,431.92744465300245,False,0,561
trajectory,5,16,True,True,1.0,569.4467313732891,485.9588352808203,False,0,561
trajectory,5,17,True,True,1.0,639.886391880434,495.9901911475162,False,0,561
trajectory,5,18,True,True,1.0,612.2612357359908,440.9978945180508,False,0,561
trajectory,5,19,True,True,1.2,586.0092748672464,479.90725132753215,False,0,561
trajectory,5,20,True,True,1.2,527.9907251327536,468.9072513275323,False,0,561
trajectory,5,21,True,True,1.2,407.9934674713,353.98693494259925,False,0,561
trajectory,5,22,True,True,1.4,529.6535475141947,443.92128508516413,False,0,561
