feedback_type,block_id,n_trials,hit_rate,mean_score_delta
,1,10,0.000,-16.80
,2,30,0.433,18.47
,3,10,0.300,17.50
trajectory,4,10,0.000,0.00
trajectory,5,30,0.000,0.00
trajectory,6,10,0.000,0.00
endpos,7,10,0.000,0.00
endpos,8,30,0.000,0.00
endpos,9,10,0.000,0.00
rl,10,10,0.100,8.00
rl,11,30,0.000,-1.83
rl,12,10,0.000,0.00
