attempt,error_angle_degrees
1,
2,2.635920414080516
3,3.135214740661013
4,2.6140559696112007
5,3.6677801461303545
6,4.5993367442078466
7,1.3649179589648384
8,1.3304742870065525
9,5.655529513590324
10,3.8037422627615456
11,3.143841952551128
12,-0.4469428281970238
13,-2.157813013615794
14,0.983402366918142
15,2.75166685764907
16,1.4743848028255684
17,3.564643000887372
18,1.2775690087231624
19,1.4743848028255684
20,0.2250417422645512
21,
22,
23,15.301378625419716
24,13.60835561473607
25,7.674171132135882
26,3.539210530207157
27,6.663479082887932
28,-0.6996213390009132
29,10.233920917651602
30,
31,9.450513207633833
32,1.8301133261680604
33,8.141126888271287
34,4.895389654372082
35,0.09750438407527895
36,1.8301133261680604
37,-0.6017670040739915
38,3.4095958670940547
39,4.858614447924651
40,1.3480534128483441
41,9.553634818945056
42,5.255118703057775
43,3.488412072106655
44,7.309323432525758
45,0.8855270546587519
46,8.904575842611678
47,0.692212155284011
48,5.584401166904456
49,4.847616473874609
50,9.429770446431263
51,-3.105548923687337
52,6.07357416474639
53,7.7232366168862825
54,11.767100640444625
55,1.9651288377488356
56,14.227745317954174
57,2.671233004073116
58,8.553819564221982
59,3.764486867795455
60,
61,5.1729153455252685
62,7.658306993298254
63,7.020525611519815
64,4.218278691852532
65,1.937098829162693
66,0.8484999307496821
67,
68,7.780508360134178
69,5.867618872434321
70,-0.11734383537131521
71,7.787233790940775
72,5.945395900922847
73,5.816176951056548
74,9.616137736248646
75,6.557071375636667
76,9.565248497743369
77,
78,9.209974529761155
79,8.141126888271287
80,4.487737507131925
81,-0.29521293661713344
82,7.663000766067142
83,
84,0.855376258895717
85,-1.1010871161544173
86,-3.388688900560055
87,3.4088597288054245
88,-0.49232455712743217
89,-1.5507264711006883
90,-0.9245819819824703
91,3.830860672092598
92,-0.9727198448580907
93,0.43159272136526283
94,3.4014629073240314
95,1.601628574337468
96,0.768642192533747
97,6.839140823408371
98,2.6029714699403996
99,-4.0954615900248115
100,0.43159272136526283
101,1.5236872507988721
102,-0.9727198448580907
103,0.43159272136526283
104,3.015951165855256
105,2.0711418003069184
106,4.469498683326208
107,-1.4830736928972499
108,4.733509923941597
109,-1.430658691013491
110,0.7241588873710612
111,2.878903603338557
112,2.3735943617092516
113,-0.5453173088620247
114,-1.340191745909891
115,1.4236656250026556
116,0.8353273481340864
117,2.8886693744239835
118,0.4752315271658176
119,1.1493611760892577
120,-1.4287477488298634
121,-17.695321152836954
122,
123,-28.309795325678635
124,
125,-3.8531587644191063
126,-4.339111314891966
127,-5.646990824970317
128,1.9856464608403712
129,
130,-19.3571292552964
131,
132,-17.032916016878715
133,-10.980420656372814
134,-6.508837836025435
135,-9.37834895468444
136,-5.772254682045826
137,-11.386188762741597
138,
139,-6.338767688018265
140,-7.750976342787595
141,
142,
143,
144,
145,-12.746240090404626
146,-15.020886034118178
147,-8.408336176505543
148,-6.056101478861933
149,-0.8881954744888674
150,
151,
152,
153,-8.404689551032305
154,
155,
156,-5.4328286793986535
157,-1.5286825363826324
158,-2.346125038970513
159,-9.05522194715303
160,
161,
162,-7.322040491880188
163,
164,
165,
166,-3.6855118590562768
167,-13.354961785324008
168,
169,-10.173524524530166
170,
171,-3.4349488229219958
172,-4.778884806308611
173,-3.4349488229219958
174,-6.434604129418005
175,-9.904768808095184
176,
177,
178,-9.840154393513046
179,-3.6024798645238434
180,-8.652201702167531
181,
182,-0.3686553284165939
183,1.203948373518159
184,1.8729353508905433
185,3.280319960930143
186,4.5993367442078466
187,5.129922179842453
188,2.080571458023911
189,3.6921043983361983
190,3.45878135627612
191,-2.8355251064885465
192,9.113957641396269
193,-1.1591630291430874
194,-0.07051954313740794
195,1.1493611760892577
196,-0.710593137499643
197,5.652543305391902
198,-1.8953094143326439
199,-1.2800071256997683
200,1.8729353508905433
201,1.7138980209247165
202,-0.2696530826917751
203,-0.29521293661713344
204,-2.339606280031191
205,-9.260178931009577
206,0.6865878897967264
207,1.7295120768164338
208,-0.9727198448580907
209,-0.19442890773478894
210,-0.9727198448580907
211,2.4990153583773917
212,-0.8594833231775567
213,-2.7173697588028034
214,3.8037422627615456
215,4.467031377345762
216,1.601628574337468
217,2.2105323082240886
218,-0.7377346700563976
219,2.8886693744239835
220,-2.4314079711725185
221,18.835500847743077
222,14.63068669781282
223,7.6263927096843815
224,
225,
226,11.663596692557633
227,1.7604797758044413
228,3.626994859891539
229,6.8256052315807665
230,6.53764578576795
231,5.816176951056548
232,
233,15.00580897842923
234,5.222133226268426
235,6.912106831790965
236,0.5837406677082129
237,
238,7.907162302716813
239,7.609758029967168
240,-0.7313529287233678
241,-3.2021174997136654
242,6.379060037917327
243,-5.314100160497304
244,-1.7375750646701817
245,
246,
247,3.3150129000690356
248,
249,
250,
251,8.853158764419106
252,-0.3770058084505763
253,-0.09279437950067404
254,9.263549020747945
255,5.222133226268426
256,
257,
258,6.950934147259886
259,0.3221720743804042
260,
261,-5.715486381229383
262,4.667824903700051
263,
264,6.591173102465348
265,3.1217835413335138
266,-1.2959154137330984
267,
268,-0.9867956443572723
269,
270,
271,6.32685351056503
272,4.620873988631644
273,1.799628067149456
274,5.4345242011691255
275,9.316352819504147
276,11.836431352108178
277,5.304243394804104
278,
279,
280,
281,
282,-5.22216863363613
283,-8.465208094811715
284,-9.2259638987518
285,0.0775818128639969
286,8.20112702614884
287,3.93908830973578
288,-0.5186941150562348
289,
290,
291,
292,2.878903603338557
293,
294,0.8281665963149294
295,1.7295120768164338
296,2.2105323082240886
297,3.93908830973578
298,1.7138980209247165
299,1.7905136822080294
300,
