attempt,circle_angle_degrees
1,-150.50997087376567
4,-143.23726391158277
5,-139.7417897545191
6,-138.054649975677
7,-140.12819104185286
8,-146.57203393718834
9,-142.37376636133024
10,-139.92939565313762
11,-137.32153058983272
13,-140.12316553712816
14,-137.62640563829075
16,-150.25511870305778
17,-146.8686502021757
18,-142.22431569404534
19,-140.75044644397275
20,-138.02603508302545
21,-125.57124707104768
22,-130.18746227722824
25,-130.68364718049588
27,-132.60248711439496
28,-131.85589019942856
34,-137.33294007499214
39,-137.08882360469718
41,-139.0221063173133
43,-137.351117483375
45,-137.28748717912853
47,-137.06194368281356
48,-137.65515955576154
53,-138.7957142031397
54,-138.02386755579664
57,-137.53127173004492
66,-133.1257004612972
81,-158.7203955723046
82,-150.65251267811894
83,-149.48687513838556
84,-141.4563513019438
85,-139.7417897545191
86,-141.42515823752564
87,-143.87658492884518
88,-140.05382605006437
90,-139.4794604523503
91,-137.26927480642
92,-137.23800651398028
93,-137.38594403038883
94,-145.8665518013326
95,-142.9434718105904
97,-136.71968003906986
100,-140.60927444644582
101,-128.63672616969734
102,-130.631597650414
103,-131.44859650103263
104,-130.5802864263408
105,-132.3181373650843
106,-137.7352262721076
107,-139.23296769753574
108,-137.2194719997187
110,-137.1458826310111
115,-132.5478289017575
119,-136.63141201514048
120,-131.9129969777437
121,-131.565051177078
122,-134.66384064446078
125,-133.07248693585296
127,-132.56806739765304
129,-131.21497948740458
134,-137.19573393471325
139,-134.9859560854473
141,-134.5135402411401
142,-132.61302782308448
149,-134.17792672291222
151,-135.12705981677868
153,-131.2681845097533
