attempt,error_angle_degrees
1,-0.8343455755467915
2,-1.984048834144744
3,
4,
5,-6.398956627368904
6,-4.076256254079851
7,
8,-2.7766035239023097
9,-1.4826185796703442
10,-1.8822824430107516
11,-2.5241657527742802
12,-0.8145770497597198
13,-2.7512276174771273
14,-2.2587554613136263
15,-2.3970285300596004
16,-2.9153221166425283
17,-2.353296866108309
18,-1.0809241866606953
19,-2.638491825411222
20,-1.6135389328811982
21,6.801409486351815
22,2.376215099719218
23,2.1436642653831086
24,-0.21727395738432165
25,4.378004055393006
26,0.25511870305777506
27,7.8790549445746905
28,
29,2.4319326023469614
30,7.8336541779175235
31,4.086682423679889
32,2.4319326023469614
33,1.7359958514760478
34,2.376215099719218
35,5.621651045315559
36,0.9983005761118591
37,2.223436191131441
38,4.553634818945028
39,3.4349488229219958
40,0.8657078027738123
41,3.606663931722977
42,1.5800909724346468
43,1.3895403340347627
44,2.223436191131441
45,-1.0110693037415786
46,2.959476090474112
47,0.4221613187386595
48,0.9721321470051691
49,1.4005397156452943
50,4.679025630878499
51,3.0261173756514665
52,1.0515482195085895
53,1.6634790828879034
54,1.7359958514760478
55,0.11894360708527074
56,1.842170733944556
57,1.1013023991584134
58,2.4319326023469614
59,2.7805083601341494
60,1.6622195027897817
61,2.959476090474112
62,0.945395900922847
63,2.6583069932982255
64,2.0752423894804224
65,2.3093234325257583
66,0.9958323135228966
67,1.2911879576985825
68,1.8803301655238442
69,5.047646938998696
70,2.4879973761485132
71,-0.7258186161965625
72,1.9509341472598862
73,1.4221874983152816
74,2.376215099719218
75,2.1857061442247527
76,1.379060037917327
77,1.5319306227468132
78,-0.34616425489360836
79,3.017609214690026
80,0.7027328739183076
81,
82,5.314545669944749
83,-3.3044018959159303
84,-7.94347181059041
85,-1.891154701685366
86,-1.719680039069857
87,-2.24833314235093
88,-2.5241657527742802
89,-8.167846603974766
90,-2.1309528871049395
91,-2.9425204563686407
92,-7.141079084537381
93,-1.2364076028561328
94,-0.13232258117383822
95,0.0
96,-7.903488719025489
97,-2.6144295965954427
98,-0.8145770497597198
99,-1.0912162252626274
100,0.27283498306809406
101,0.7650590609143819
102,19.790765923939247
103,19.209507324426824
104,1.4844531895356567
105,3.3175396030129605
106,2.2658094950145937
107,4.870033520515676
108,3.731815490246703
109,1.6646557808979594
110,1.8583987677382652
111,2.0752423894804224
112,4.491513502116618
113,0.6795241224192239
114,1.2911879576985825
115,0.544919341404352
116,2.0752423894804224
117,1.4844531895356567
118,0.5971789944163106
119,0.11894360708527074
120,1.1590854630857734
121,3.6119692056395536
122,0.06848815949220466
123,4.025606037568679
124,
125,0.3901703787280155
126,0.5755804219260199
127,0.25511870305777506
128,
129,3.8998131011834687
130,-0.4867002832418166
131,2.0891259827189117
132,-1.2930389959202273
133,2.553544826339845
134,1.6262095004299226
135,1.8583987677382652
136,1.3138524262605529
137,0.3241081694312129
138,0.18845697686788299
139,1.5319306227468132
140,0.5663178248567817
141,3.017609214690026
142,2.005828733680545
143,1.5718395975399346
144,1.9661481085361743
145,1.9810533578130958
146,-0.10652704115841516
147,2.320841756083439
148,-1.7151335150978184
149,1.7914188319415416
150,1.606980578616998
151,1.36784560598673
152,-0.8219355852931187
153,-0.031442088400154944
154,1.4005397156452943
155,1.4315922747504715
156,0.7560337685828245
157,-0.6331167921820224
158,3.4349488229219958
159,
160,0.544919341404352
