attempt,circle_angle_degrees
2,132.63592041408052
3,133.135214740661
4,132.6140559696112
5,133.66778014613035
6,134.59933674420785
9,135.65552951359032
10,133.80374226276155
11,133.14384195255113
13,127.8421869863842
15,132.75166685764907
17,133.56464300088737
23,145.30137862541972
24,143.60835561473607
25,137.67417113213588
26,133.53921053020716
27,136.66347908288793
29,140.2339209176516
31,139.45051320763383
33,138.1411268882713
34,134.89538965437208
38,133.40959586709405
39,134.85861444792465
41,139.55363481894506
42,135.25511870305778
43,133.48841207210666
44,137.30932343252576
46,138.90457584261168
48,135.58440116690446
49,134.8476164738746
50,139.42977044643126
51,126.89445107631266
52,136.0735741647464
53,137.72323661688628
54,141.76710064044462
55,131.96512883774884
56,144.22774531795417
57,132.67123300407312
58,138.55381956422198
59,133.76448686779545
61,135.17291534552527
62,137.65830699329825
63,137.02052561151982
64,134.21827869185253
65,131.9370988291627
68,137.78050836013418
69,135.86761887243432
71,137.78723379094077
72,135.94539590092285
73,135.81617695105655
74,139.61613773624865
75,136.55707137563667
76,139.56524849774337
78,139.20997452976115
79,138.1411268882713
80,134.48773750713192
82,137.66300076606714
86,126.61131109943994
87,133.40885972880542
91,133.8308606720926
94,133.40146290732403
97,136.83914082340837
98,132.6029714699404
99,125.90453840997519
104,133.01595116585526
105,132.07114180030692
106,134.4694986833262
107,128.51692630710275
108,134.7335099239416
111,132.87890360333856
112,132.37359436170925
117,132.88866937442398
121,162.30467884716305
123,151.69020467432136
125,176.1468412355809
126,175.66088868510803
127,174.35300917502968
128,-178.01435353915966
130,160.6428707447036
132,162.96708398312128
133,169.01957934362719
134,173.49116216397456
135,170.62165104531556
136,174.22774531795417
137,168.6138112372584
139,173.66123231198173
140,172.2490236572124
145,167.25375990959537
146,164.97911396588182
147,171.59166382349446
148,173.94389852113807
153,171.5953104489677
156,174.56717132060135
158,177.6538749610295
159,170.94477805284697
162,172.6779595081198
166,176.31448814094372
167,166.645038214676
169,169.82647547546983
171,176.565051177078
172,175.2211151936914
173,176.565051177078
174,173.565395870582
175,170.09523119190482
178,170.15984560648695
179,176.39752013547616
180,171.34779829783247
185,133.28031996093014
186,134.59933674420785
187,135.12992217984245
188,132.0805714580239
189,133.6921043983362
190,133.45878135627612
191,127.16447489351145
192,139.11395764139627
197,135.6525433053919
198,128.10469058566736
204,127.66039371996881
205,120.73982106899042
211,132.4990153583774
213,127.2826302411972
214,133.80374226276155
215,134.46703137734576
217,132.2105323082241
219,132.88866937442398
220,127.56859202882748
221,148.83550084774308
222,144.63068669781282
223,137.62639270968438
226,141.66359669255763
228,133.62699485989154
229,136.82560523158077
230,136.53764578576795
231,135.81617695105655
233,145.00580897842923
234,135.22213322626843
235,136.91210683179096
238,137.9071623027168
239,137.60975802996717
241,126.79788250028633
242,136.37906003791733
243,124.6858998395027
244,128.26242493532982
247,133.31501290006904
251,138.8531587644191
254,139.26354902074794
255,135.22213322626843
258,136.9509341472599
261,124.28451361877062
262,134.66782490370005
264,136.59117310246535
265,133.1217835413335
266,128.7040845862669
271,136.32685351056503
272,134.62087398863164
274,135.43452420116913
275,139.31635281950415
276,141.83643135210818
277,135.3042433948041
282,124.77783136636387
283,121.53479190518829
284,120.7740361012482
286,138.20112702614884
287,133.93908830973578
292,132.87890360333856
296,132.2105323082241
297,133.93908830973578
