attempt,error_angle_degrees
0,0.6052145972448102
1,1.2102941689212088
2,0.4063462333090371
3,0.8126515942537367
4,0.0
5,0.40491042878575456
6,0.9980833434077141
7,-0.9980833434077141
8,0.3965042551331095
9,0.0
10,0.9980833434077141
11,0.607353004809525
12,-0.20245774221818635
13,1.4119340386036043
14,0.19757087041671184
15,-0.6116754747137918
16,0.4077922565657559
17,0.9743240911534912
18,0.7690246825780349
19,-0.6030911943805393
20,1.808739322492059
21,1.3923316172772218
22,0.4077922565657559
23,-0.6095065766752015
24,-1.012187613982448
25,1.1976467146083962
26,-1.6249763575247727
27,0.5968094512291771
28,-0.4063462333090371
29,0.0
30,0.0
31,0.2031756714663686
32,0.20103699783460627
33,-0.40066325579215345
34,0.20033407700783812
35,0.19894287936062938
36,0.6095065766751873
37,1.3779832463049502
38,-1.4069818789820232
39,-1.5586842062108275
40,-1.3921196300862562
41,-1.6076683827227782
42,0.46207305613508254
43,-2.386119247996376
44,-0.6441749571447986
45,-2.6101341991820846
46,-3.5226312711711074
47,-0.23840660948150116
48,-0.8121979880955053
49,-1.1681853250253482
50,-1.67782792561961
51,-1.88919637761542
52,
53,-1.5513849483134834
54,-2.667037337311953
55,-0.2629718887068435
56,-3.1960198437294878
57,-1.8045271150298703
58,-2.4396776802148565
59,-5.132381127565679
60,-1.016893478100016
61,-2.0872646572798033
62,-9.32360686254998
63,
64,-3.194056481542276
65,-2.5398187177479343
66,-1.3301225331331068
67,2.239851235046345
68,2.652411864241671
69,-2.9125093859632614
70,-10.790025470238845
71,-3.080729042107592
72,-1.6166458584701644
73,-1.8214098900408402
74,-3.2641720424761616
75,
76,-3.43494882292201
77,-3.4349488229219958
78,-3.1701011891946393
79,-1.064184492671643
80,
81,
82,
83,1.019390281455074
84,3.157944796439267
85,3.3319520672131517
86,1.0157761810452541
87,1.7775743441427778
88,2.313722497824216
89,1.4119340386036043
90,2.6116813778983925
91,0.607353004809525
92,1.019390281455074
93,0.8155432028971177
94,0.0
95,0.0
96,0.19963605452437605
97,0.19689193807190009
98,1.019390281455074
99,0.9946184736405712
100,0.0
101,0.0
102,0.0
103,-0.5968094512291771
104,0.7875212556708817
105,-0.19894287936062938
106,0.0
107,1.6022613462709643
108,1.0050860052541708
109,0.6009826388479382
110,-0.20174486874688569
111,0.0
112,0.19554797627085918
113,0.0
114,0.8097804169108969
115,0.40348473505873983
116,0.20245774221818635
117,0.20033407700783812
118,0.607353004809525
119,0.5988887754711527
120,12.098295362221776
121,6.169138774357407
122,9.598331026008282
123,2.916449135631325
124,6.801409486351801
125,
126,-0.1980019165661986
127,
128,2.402704131356259
129,-0.270975549290128
130,4.949022183557105
131,3.3472065032837577
132,-0.9296315929799164
133,6.948699083526947
134,3.178018798418492
135,2.073047165708772
136,2.644106387842882
137,2.539775112710913
138,2.650124219930106
139,1.514163910233023
140,2.9975849554012512
141,2.553544826339845
142,2.241459398939952
143,6.456555132563352
144,2.644106387842882
145,1.0599873071606254
146,7.568607331089453
147,-4.790765923939276
148,3.0041616059133673
149,-0.16947171625369606
150,
151,
152,2.904447506248175
153,2.469873830376983
154,2.3869721769155205
155,4.92712082590829
156,3.1760841106085422
157,5.095231191904816
158,3.603713517514663
159,7.221060858303616
160,0.0
161,-1.185260818622396
162,-1.4169211744957124
163,-0.5988887754711669
164,0.38976119531805864
165,0.0
166,-1.012187613982448
167,0.40348473505873983
168,0.0
169,0.607353004809525
170,-0.2038987104668024
171,1.5801724728000153
172,0.9809962441298694
173,-1.3732659358088881
174,0.0
175,0.399267261846731
176,1.387515747443203
177,0.8097804169108969
178,-1.4020643290414085
179,0.0
180,1.2018330644521171
181,1.553403124168213
182,0.0
183,1.001572435655774
184,0.19825450119918742
185,0.6009826388479382
186,-0.7848246029918897
187,-0.19894287936062938
188,0.0
189,0.19825450119918742
190,0.19554797627085918
191,-1.1196446805291629
192,0.6116754747137918
193,0.3910913970570249
194,-0.20245774221818635
195,-0.5710353731147677
196,0.5988887754711527
197,0.3951370425074856
198,0.5729386976834832
199,0.9877603996398108
