attempt,target_angle_degrees
2,130.0
3,130.0
7,130.0
8,130.0
10,130.0
11,130.0
12,130.0
14,130.0
15,130.0
18,130.0
19,130.0
20,130.0
22,130.0
23,130.0
24,130.0
25,130.0
26,130.0
27,130.0
28,130.0
29,130.0
30,130.0
31,130.0
32,130.0
33,130.0
34,130.0
35,130.0
36,130.0
37,130.0
39,130.0
40,130.0
41,130.0
42,130.0
43,130.0
44,130.0
46,130.0
47,130.0
48,130.0
50,130.0
51,130.0
52,130.0
53,130.0
55,130.0
56,130.0
58,130.0
59,130.0
60,130.0
61,130.0
62,130.0
63,130.0
64,130.0
65,130.0
66,130.0
67,130.0
68,130.0
69,130.0
70,130.0
71,130.0
72,130.0
73,130.0
75,130.0
76,130.0
77,130.0
78,130.0
80,130.0
81,130.0
82,130.0
83,130.0
84,130.0
85,130.0
87,130.0
89,130.0
90,130.0
92,130.0
93,130.0
94,130.0
95,130.0
97,130.0
99,130.0
100,130.0
101,130.0
102,130.0
103,130.0
104,130.0
105,130.0
106,130.0
107,130.0
108,130.0
109,130.0
110,130.0
111,130.0
112,130.0
113,130.0
114,130.0
116,130.0
117,130.0
118,130.0
119,130.0
120,130.0
121,-130.00000000000003
122,-130.00000000000003
123,-130.00000000000003
124,-130.00000000000003
125,-130.00000000000003
126,-130.00000000000003
127,-130.00000000000003
128,-130.00000000000003
130,-130.00000000000003
131,-130.00000000000003
132,-130.00000000000003
133,-130.00000000000003
134,-130.00000000000003
135,-130.00000000000003
136,-130.00000000000003
138,-130.00000000000003
139,-130.00000000000003
140,-130.00000000000003
141,-130.00000000000003
143,-130.00000000000003
144,-130.00000000000003
145,-130.00000000000003
146,-130.00000000000003
147,-130.00000000000003
148,-130.00000000000003
150,-130.00000000000003
152,-130.00000000000003
153,-130.00000000000003
154,-130.00000000000003
155,-130.00000000000003
156,-130.00000000000003
158,-130.00000000000003
159,-130.00000000000003
160,-130.00000000000003
161,-130.00000000000003
162,-130.00000000000003
163,-130.00000000000003
164,-130.00000000000003
165,-130.00000000000003
166,-130.00000000000003
168,-130.00000000000003
169,-130.00000000000003
170,-130.00000000000003
172,-130.00000000000003
173,-130.00000000000003
175,-130.00000000000003
176,-130.00000000000003
177,-130.00000000000003
179,-130.00000000000003
181,130.0
182,130.0
183,130.0
184,130.0
185,130.0
187,130.0
189,130.0
190,130.0
191,130.0
192,130.0
193,130.0
194,130.0
195,130.0
196,130.0
197,130.0
198,130.0
199,130.0
200,130.0
201,130.0
202,130.0
203,130.0
204,130.0
205,130.0
206,130.0
207,130.0
208,130.0
209,130.0
210,130.0
212,130.0
213,130.0
214,130.0
216,130.0
217,130.0
220,130.0
223,130.0
224,130.0
225,130.0
226,130.0
227,130.0
228,130.0
229,130.0
230,130.0
231,130.0
232,130.0
233,130.0
234,130.0
235,130.0
236,130.0
238,130.0
239,130.0
241,130.0
242,130.0
243,130.0
245,130.0
246,130.0
247,130.0
248,130.0
249,130.0
250,130.0
251,130.0
252,130.0
253,130.0
254,130.0
255,130.0
258,130.0
259,130.0
260,130.0
261,130.0
262,130.0
263,130.0
265,130.0
266,130.0
267,130.0
268,130.0
269,130.0
270,130.0
271,130.0
274,130.0
275,130.0
276,130.0
277,130.0
278,130.0
279,130.0
280,130.0
281,130.0
282,130.0
284,130.0
288,130.0
289,130.0
291,130.0
293,130.0
295,130.0
296,130.0
300,130.0
