attempt,circle_angle_degrees
2,128.36748538486154
3,132.55514828173642
7,130.84035770628736
8,131.97396491697455
10,132.77222573496257
11,123.23171106797936
12,125.25877147160516
14,133.51854282911293
15,133.29605141697223
18,140.19442890773482
19,137.2176351081916
20,132.49958943562314
22,136.0976429637982
23,142.1193628235823
24,139.63168931721395
25,130.46533842860066
26,136.81380290926862
27,136.0735741647464
28,148.4558345323584
29,132.7805280002813
30,134.16216805531275
31,133.95034281337738
32,136.57610335617335
33,129.5222550099252
34,139.79887635452494
35,136.78537733133518
36,145.30137862541972
37,115.37449412939492
39,133.3245312618908
40,136.59117310246535
41,136.28670905683802
42,136.66347908288793
43,134.03624346792648
44,134.57421619803876
46,133.50286139465715
47,136.13986534341615
48,135.19088579329346
50,135.7650590609144
51,133.76448686779545
52,132.0690119520258
53,133.94923399872553
55,144.3863711018014
56,139.1481374579396
58,137.20239536909227
59,139.37800405539303
60,133.59483633407498
61,133.47496139789445
62,133.14593782655587
63,129.7327250329752
64,142.80820447000596
65,137.97382574485033
66,136.23006093652356
67,134.76146776698573
68,135.0405287719284
69,137.2355115343799
70,138.43494882292202
71,140.14723460802833
72,127.7572500500434
73,136.69924423399362
75,139.8059700501075
76,146.56505117707798
77,140.4495476107926
78,146.4816512658009
80,133.34872711328737
81,121.11953586413486
82,129.31507701289436
83,124.19176905968021
84,117.94442804047489
85,126.61131109943994
87,133.98602127721472
89,122.56975952135578
90,135.51155586658703
92,126.52370379538307
93,128.0345815099449
94,125.68389346311707
95,127.69424046668917
97,130.5612836322953
99,135.70731936854426
100,125.47361246700065
101,130.3099626836477
102,133.29605141697223
103,126.80090817947057
104,124.73074833687203
105,124.94566440000565
106,134.87124565602696
107,124.00005068460342
108,128.04114547755367
109,129.02420898342996
110,125.70669140060288
111,121.51407260298883
112,133.93415497243842
113,140.26079464583046
114,123.06333832629083
116,131.7789597844995
117,127.01513378474343
118,134.50394503960476
119,128.00323364286567
120,128.49757429545787
121,-160.72415888737106
122,-155.19240432114324
123,-154.04593735660166
124,-140.92966027371907
125,-132.5894595349577
126,-134.64344322834398
127,-150.20323775494265
128,-141.3556703439224
130,-137.33324270771564
131,-138.49419986644708
132,-137.67417113213588
133,-141.73463121878805
134,-135.871178611457
135,-138.48624315076972
136,-136.4403795216802
138,-133.72844101338808
139,-124.3025485388726
140,-139.0078875206055
141,-142.07719931553632
143,-150.55019062537988
144,-141.2318210859749
145,-146.22702690114045
146,-138.99665415548859
147,-131.3099324740202
148,-137.32084175608344
150,-138.75865034784223
152,-132.22512267573575
153,-127.34122581136415
154,-146.89386122309256
155,-145.14132636729408
156,-137.39751288560507
158,-136.41870838489012
159,-140.7664584474158
160,-135.54257861239614
161,-143.8698074321336
162,-120.54221516494636
163,-135.89640422452322
164,-136.0490047925332
165,-131.72511201516508
166,-121.66510605810367
168,-141.73463121878805
169,-138.7228648894791
170,-123.92590770368399
172,-142.007632157364
173,-133.62699485989154
175,-132.56979180767868
176,-133.77834972789125
177,-136.8583987677383
179,-138.87314891764925
181,122.82356041605443
182,136.1586330880851
183,132.65738799350174
184,134.4694986833262
185,131.98721249581666
187,135.38800160501356
189,127.65146418873763
190,133.7039365019829
191,120.00035328636996
192,133.93908830973578
193,138.209486317792
194,136.16913932790743
195,126.50144112050633
196,130.34526669282178
197,137.91942854197612
198,134.0164780808609
199,123.3484442689218
200,140.72322726728672
201,128.05337355716088
202,133.43064519525103
203,133.68610697550207
204,125.51581751851657
205,135.6585431775636
206,136.58381157086194
207,134.23610153907
208,128.13630808537295
209,131.20275211956158
210,133.0165233054907
212,139.1330706199718
213,132.8317077495047
214,133.40885972880542
216,136.05118074954376
217,125.17328754900544
220,127.92107839538778
223,156.01529076623734
224,157.9716037610504
225,152.96545464929739
226,140.31667951203977
227,119.06692647678153
228,144.57641332060393
229,114.04929055911546
230,164.4815003127093
231,130.1246716553978
232,134.39517865967304
233,143.69421638217122
234,135.84770498192688
235,136.43159227475047
236,129.76371753170477
238,139.44992534758651
239,125.00987505855441
241,148.08358216799797
242,120.55090397921857
243,141.8709431652166
245,135.59281093926634
246,141.59166382349443
247,136.50436138175502
248,126.69928315535961
249,131.87026453158794
250,137.42149755444837
251,127.43920862184086
252,123.86298287150505
253,131.7016315143666
254,142.98364278690502
255,121.64702866125873
258,138.7814916506126
259,141.24073473991672
260,140.42951812416385
261,134.48176932112477
262,127.35237935989237
263,133.27234500699646
265,137.96435752002682
266,141.4713683239146
267,126.28085889223476
268,139.85071599612522
269,130.73266455665578
270,126.99192534666781
271,132.5685826277972
274,127.75667146259238
275,133.34872711328737
276,128.94368448256444
277,141.0634484521304
278,125.09211512449897
279,133.43360535145666
280,146.6448502612927
281,117.21152054934349
282,120.52970589993411
284,122.48507544529282
288,126.09517900967793
289,117.559957470858
291,130.6394790975406
293,129.6401134430442
295,125.4333140102856
296,124.40431450888342
300,125.17328754900544
