attempt,circle_angle_degrees
2,-143.65539275292323
3,-139.52095789958145
6,-142.01045767362683
8,-137.23800651398028
10,-140.31155012545472
11,-139.27584111262894
14,-132.74124453868637
15,-140.14670232192788
17,-137.52416575277428
18,-137.91532211664253
21,-118.75826073502446
22,-127.0216826495727
23,-139.34609740006152
24,-127.91790308605587
25,-133.10361748400567
27,-129.1791071466892
28,-131.84729411334888
29,-131.20770167651395
31,-134.35775354279127
32,-128.71136721217746
34,-136.87821645866651
35,-131.2712292424273
37,-129.00305713832967
39,-131.97388262434853
42,-130.20814432666933
45,-137.0711950095023
46,-132.79342741195856
50,-132.75854060106005
52,-132.14968169778317
54,-137.4123066183512
58,-133.49563861824498
60,-137.65515955576154
61,-138.43148097957572
62,-138.44773032661007
66,-132.08749061403674
67,-137.08882360469718
68,-137.87898454741426
69,-137.5500034921934
72,-137.61473904011078
75,-138.72550090396913
76,-137.61050096269904
79,-138.32326216904602
81,-161.15538455610405
83,-144.3314105252938
84,-143.05564394316303
85,-153.9317205898467
87,-145.9456590383672
90,-126.30449712257524
91,-128.54601340964663
92,-148.61519670379917
93,-138.28924267849183
95,-131.43190369532877
96,-140.12316553712816
97,-132.23614262908742
100,-129.21099115482767
101,-125.6023136721207
102,-128.61427206807164
103,-130.9133175763201
104,-137.351117483375
105,-137.72750342817096
106,-140.7098228308623
107,-138.93358181964518
108,-139.31163104959649
110,-139.29166879617523
116,-132.1997216671678
117,-137.24594199504395
125,-127.95551896792678
126,-132.33367909371316
129,-133.211704268684
130,-133.0490658527401
133,-132.08749061403674
135,-132.16186062830718
140,-131.565051177078
145,-130.621995944607
147,-131.1468412355809
151,-134.30801146715837
153,-133.08789316820904
158,-133.02808308565236
159,-132.92475761051958
