attempt,error_angle_degrees
1,1.239489294243043
2,4.200575886682458
3,2.2233964760976903
4,1.9733862944650866
5,2.7924122205934907
6,0.34981515011375564
7,1.4407331787167834
8,5.131111394747222
9,-0.9727198448580907
10,-0.07051954313740794
11,-0.24433811071517653
12,0.5371815279594898
13,-0.9727198448580907
14,3.8092661081426797
15,1.4743848028255684
16,-1.5507264711006883
17,0.04763040208402458
18,0.9143832200251154
19,0.3937021493581483
20,-0.7927964950321496
21,24.555804524644145
22,
23,
24,16.078818610811453
25,10.159845606486925
26,9.653824058053317
27,3.0918930643468343
28,4.2614615670507305
29,-2.6174236472710675
30,-0.34422063346281107
31,4.446795370936172
32,3.4446480241007293
33,9.368402349586034
34,2.1857233096279742
35,0.6196552761551573
36,-0.8252727082494857
37,2.24912341975579
38,7.609758029967168
39,4.667824903700051
40,4.493867758276139
41,5.453487602939845
42,11.595310448967695
43,3.676180465475994
44,3.3579510111706554
45,4.715071650597764
46,
47,5.970872012855779
48,3.8120827199549296
49,5.416061480636188
50,3.0791237800668227
51,2.1714582085874667
52,-0.44191891816007
53,2.1714582085874667
54,11.11690466446339
55,
56,8.434948822922024
57,6.645038214675935
58,6.02206282150803
59,7.143664265383109
60,8.731815490246703
61,4.628780126226445
62,4.34933204294714
63,1.3099324740202007
64,2.938056317186465
65,6.53764578576795
66,15.144785630678939
67,
68,8.152705886651148
69,11.305783617828752
70,1.0500052509724185
71,1.0825694630296425
72,3.532456631434968
73,8.853158764419106
74,8.964904948388863
75,4.94346423000232
76,8.60839666698999
77,19.28743968317542
78,5.484169713915662
79,8.492416987715785
80,0.6314615359330276
81,-12.505452828786986
82,-0.09739973797900348
83,
84,-0.3176984669213141
85,0.006256014176614144
86,0.7484221486917306
87,-0.16916621999220638
88,-1.188615963241574
89,
90,
91,0.5391517414834368
92,2.9974668681731202
93,0.4367702457621476
94,-0.1467023219278758
95,3.034097480139252
96,-2.946462664036204
97,4.868285796361363
98,2.248772382522901
99,1.4576388078062905
100,2.3493103165781974
101,4.871245656026957
102,-1.8110247386474327
103,-2.1909114084203907
104,-1.4860564499101656
105,-1.3977465025562594
106,-3.202354244625596
107,0.47904210041858164
108,1.744978611604239
109,-2.9034887190255034
110,-0.46620503873575103
111,1.1308154236346013
112,3.444840494932862
113,-0.8156265294912259
114,0.49988629157934383
115,0.001035679854311411
116,-7.141000633970918
117,3.6739456232951113
118,-0.6422374320241317
119,1.3130068510401713
120,1.2743718066510041
121,-35.803575495848094
122,-27.045420175940336
123,-20.47774499007477
124,-15.068582821862464
125,-6.39164438526393
126,-7.8528145092219575
127,-9.269737819763321
128,-18.10226180521616
129,-18.023867555796613
130,
131,-4.425555227899849
132,
133,-18.509552119752954
134,
135,-5.11963314081828
136,
137,-4.093492000485611
138,
139,-5.212244772738444
140,-3.8501283640668476
141,-7.719997281457694
142,-7.600396454221851
143,-4.02560603756865
144,-3.6024798645238434
145,-10.194029949892496
146,-10.683647180495825
147,-10.508486497883382
148,
149,-15.256437163529228
150,-12.645975363738643
151,-11.565051177077976
152,-7.885121291416368
153,-8.503713082237113
154,-8.96248897457815
155,-11.003345844511443
156,-8.652201702167531
157,-5.54046301177803
158,-12.975991997460739
159,-7.820972509352345
160,
161,-11.38803079436039
162,-13.717115870977892
163,-8.432585978509906
164,-9.532442400431421
165,-5.5866682949748565
166,-4.017033958112421
167,-7.9228006844636525
168,-5.160698450693843
169,-10.761355483091563
170,-10.529697990533037
171,
172,-8.827421380570428
173,-14.614811646346425
174,-12.295968476542072
175,-7.450557557688228
176,-6.297354049033743
177,-7.40859086263859
178,-9.12098311944257
179,-11.15952664781193
180,-4.905843910941201
181,
182,3.015951165855256
183,3.8255357855360614
184,9.621251402014138
185,0.6839724801344005
186,
187,2.8886693744239835
188,-7.253419035311552
189,0.19204603696954337
190,-3.13010235415598
191,1.3304742870065525
192,4.735966018740896
193,1.4743848028255684
194,-2.157813013615794
195,1.406433812134793
196,3.4234499448162694
197,1.5557974853467158
198,-2.946462664036204
199,2.5660740309239998
200,-1.3099565088678844
201,2.111378450157048
202,4.0780785223611815
203,5.930476096078394
204,
205,-2.910719458774409
206,0.5180462044752971
207,5.396962097597424
208,6.307895601663802
209,4.065186788020668
210,7.121096396661443
211,3.93908830973578
212,3.135214740661013
213,4.743069975496496
214,2.7412445386863737
215,-2.5683970215894334
216,3.59659793260721
217,-0.9155616627670042
218,6.4552379783359015
219,0.9639213189669817
220,1.185925165709648
221,28.718724201976045
222,21.38480329620083
223,
224,16.733320236655203
225,13.565395870581966
226,16.143766272909374
227,10.57807358432396
228,19.072163332212085
229,9.325485076282604
230,15.151653981103124
231,12.271862792135977
232,10.490837607926693
233,8.904575842611678
234,8.728770757572732
235,10.381430051197384
236,4.762616969294442
237,12.431392668910547
238,-4.345579177359312
239,5.4034249624696145
240,7.005828733680573
241,
242,6.842170733944556
243,6.610109614685825
244,7.737671529854964
245,1.8983151741249742
246,7.912509385963261
247,3.545785739870695
248,11.971527096645417
249,7.3869721769155205
250,3.1575427400148044
251,12.270267920055318
252,22.043516832744416
253,14.133747852001761
254,
255,6.733594217595908
256,2.6244600067879844
257,
258,4.534455080540141
259,-1.3237447055777238
260,18.178590109959174
261,4.036243467926482
262,12.978317350427318
263,8.257563075389726
264,7.7232366168862825
265,12.761967284435485
266,9.133643205905457
267,2.730198020419266
268,13.907660494172518
269,8.492416987715785
270,5.1729153455252685
271,6.927513064147064
272,3.262023302998415
273,14.337088275886543
274,9.542257341504808
275,10.996942861670334
276,9.72888398827493
277,9.08668242367986
278,15.55996517182382
279,6.8256052315807665
280,9.37233221677755
281,-24.191456815368724
282,-21.565051177077976
283,-4.0276129507150955
284,2.8886693744239835
285,-3.0622565841931078
286,-0.02259118105359903
287,
288,-0.5887162200180285
289,1.601628574337468
290,-0.5721978039637747
291,
292,5.866176894551927
293,1.132742217326637
294,0.7484221486917306
295,4.467031377345762
296,0.855376258895717
297,1.1308154236346013
298,3.4656585002992415
299,3.680054306078233
300,1.8201698801357509
