attempt,circle_angle_degrees
1,-139.45899552514572
3,-139.00950154143925
5,-132.33699923393286
7,-137.80245151986676
9,-138.81407483429035
10,-138.06886361009862
11,-136.78991060824606
13,-139.7636416907262
14,-138.209486317792
15,-138.17983011986425
16,-138.47631274920113
17,-140.07370473006299
20,-137.13095288710494
21,-125.50997518433944
23,-126.46494485024405
24,-129.65782381143006
40,-132.78888472464666
45,-131.74243692461027
46,-131.39160333301004
61,-131.5070007617709
64,-137.63253161664758
71,-133.37133876635033
77,-132.74624009040465
82,-147.61544440649843
83,-140.3392368037376
84,-145.00797980144134
86,-119.74488129694222
90,-123.38147564720536
92,-130.78305717083143
93,-129.973032183935
97,-131.15063365214814
98,-136.86478525933902
101,-126.11350007836526
102,-131.20770167651395
106,-132.5120026238515
107,-137.63253161664758
111,-137.4105404650423
114,-130.28426135667422
115,-136.8659776936037
117,-137.1458826310111
121,-132.63476507636207
136,-131.22196677755448
139,-129.2277453179542
141,-130.96824172584883
142,-131.04576830048885
143,-131.67895913737112
144,-132.56806739765304
150,-137.18745180416772
155,-132.84324390927725
159,-133.35147494382926
