attempt,circle_angle_degrees
2,134.20057588668246
3,132.2233964760977
4,131.9733862944651
5,132.7924122205935
8,135.13111139474722
14,133.80926610814268
21,154.55580452464415
24,146.07881861081145
25,140.15984560648693
26,139.65382405805332
27,133.09189306434683
28,134.26146156705073
29,127.38257635272893
31,134.44679537093617
32,133.44464802410073
33,139.36840234958603
34,132.18572330962797
37,132.2491234197558
38,137.60975802996717
39,134.66782490370005
40,134.49386775827614
41,135.45348760293984
42,141.5953104489677
43,133.676180465476
44,133.35795101117066
45,134.71507165059776
47,135.97087201285578
48,133.81208271995493
49,135.4160614806362
50,133.07912378006682
51,132.17145820858747
53,132.17145820858747
54,141.1169046644634
56,138.43494882292202
57,136.64503821467594
58,136.02206282150803
59,137.1436642653831
60,138.7318154902467
61,134.62878012622645
62,134.34933204294714
63,131.3099324740202
64,132.93805631718647
65,136.53764578576795
66,145.14478563067894
68,138.15270588665115
69,141.30578361782875
72,133.53245663143497
73,138.8531587644191
74,138.96490494838886
75,134.94346423000232
76,138.60839666699
77,149.28743968317542
78,135.48416971391566
79,138.49241698771579
81,117.49454717121301
92,132.99746686817312
95,133.03409748013925
96,127.0535373359638
97,134.86828579636136
98,132.2487723825229
100,132.3493103165782
101,134.87124565602696
102,128.18897526135257
103,127.80908859157961
104,128.51394355008983
105,128.60225349744374
106,126.7976457553744
109,127.0965112809745
112,133.44484049493286
116,122.85899936602908
117,133.6739456232951
121,144.1964245041519
122,152.95457982405966
123,159.52225500992523
124,164.93141717813754
125,173.60835561473607
126,172.14718549077804
127,170.73026218023668
128,161.89773819478384
129,161.9761324442034
131,175.57444477210015
133,161.49044788024705
135,174.88036685918172
137,175.9065079995144
139,174.78775522726156
140,176.14987163593315
141,172.2800027185423
142,172.39960354577815
143,175.97439396243135
144,176.39752013547616
145,169.8059700501075
146,169.31635281950417
147,169.49151350211662
149,164.74356283647077
150,167.35402463626136
151,168.43494882292202
152,172.11487870858363
153,171.4962869177629
154,171.03751102542185
155,168.99665415548856
156,171.34779829783247
157,174.45953698822197
158,167.02400800253926
159,172.17902749064766
161,168.6119692056396
162,166.2828841290221
163,171.5674140214901
164,170.46755759956858
165,174.41333170502514
166,175.98296604188758
167,172.07719931553635
168,174.83930154930616
169,169.23864451690844
170,169.47030200946696
172,171.17257861942957
173,165.38518835365358
174,167.70403152345793
175,172.54944244231177
176,173.70264595096626
177,172.5914091373614
178,170.87901688055743
179,168.84047335218807
180,175.0941560890588
182,133.01595116585526
183,133.82553578553606
184,139.62125140201414
187,132.88866937442398
188,122.74658096468845
190,126.86989764584402
192,134.7359660187409
194,127.8421869863842
196,133.42344994481627
197,131.55579748534672
198,127.0535373359638
199,132.566074030924
201,132.11137845015705
202,134.07807852236118
203,135.9304760960784
205,127.08928054122559
207,135.39696209759742
208,136.3078956016638
209,134.06518678802067
210,137.12109639666144
211,133.93908830973578
212,133.135214740661
213,134.7430699754965
214,132.74124453868637
215,127.43160297841057
216,133.5965979326072
218,136.4552379783359
221,158.71872420197604
222,151.38480329620083
224,146.7333202366552
225,143.56539587058197
226,146.14376627290937
227,140.57807358432396
228,149.07216333221209
229,139.3254850762826
230,145.15165398110312
231,142.27186279213598
232,140.4908376079267
233,138.90457584261168
234,138.72877075757273
235,140.38143005119738
236,134.76261696929444
237,142.43139266891055
238,125.65442082264069
239,135.40342496246961
240,137.00582873368057
242,136.84217073394456
243,136.61010961468583
244,137.73767152985496
245,131.89831517412497
246,137.91250938596326
247,133.5457857398707
248,141.97152709664542
249,137.38697217691552
250,133.1575427400148
251,142.27026792005532
252,152.04351683274442
253,144.13374785200176
255,136.7335942175959
256,132.62446000678798
258,134.53445508054014
259,128.67625529442228
260,148.17859010995917
261,134.03624346792648
262,142.97831735042732
263,138.25756307538973
264,137.72323661688628
265,142.76196728443549
266,139.13364320590546
267,132.73019802041927
268,143.90766049417252
269,138.49241698771579
270,135.17291534552527
271,136.92751306414706
272,133.26202330299841
273,144.33708827588654
274,139.5422573415048
275,140.99694286167033
276,139.72888398827493
277,139.08668242367986
278,145.55996517182382
279,136.82560523158077
280,139.37233221677755
281,105.80854318463128
282,108.43494882292202
283,125.9723870492849
284,132.88866937442398
285,126.93774341580689
292,135.86617689455193
295,134.46703137734576
298,133.46565850029924
299,133.68005430607823
300,131.82016988013575
