feedback_type,block_id,n_trials,hit_rate,mean_score_delta
,1,10,0.200,-6.70
,2,30,0.133,6.17
,3,10,0.700,53.20
trajectory,4,10,0.400,30.60
trajectory,5,30,0.133,-2.00
trajectory,6,10,0.000,-25.00
endpos,7,10,0.200,5.90
endpos,8,30,0.300,17.67
endpos,9,10,0.200,3.50
rl,10,10,0.300,14.00
rl,11,30,0.367,17.67
rl,12,10,0.300,10.60
