feedback_type,block_id,n_trials,hit_rate,mean_score_delta
,1,10,0.200,8.30
,2,30,0.133,2.50
,3,10,0.400,23.90
trajectory,4,10,0.200,6.50
trajectory,5,30,0.167,2.30
trajectory,6,10,0.300,12.40
endpos,7,10,0.300,16.20
endpos,8,30,0.200,13.00
endpos,9,10,0.200,7.10
rl,10,10,0.400,22.90
rl,11,30,0.400,22.50
rl,12,10,0.300,12.70
